PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=1 ttl=64 time=22.7 ms
64 bytes from 10.0.0.1: icmp_seq=2 ttl=64 time=0.096 ms
64 bytes from 10.0.0.1: icmp_seq=3 ttl=64 time=0.080 ms
64 bytes from 10.0.0.1: icmp_seq=4 ttl=64 time=0.187 ms
64 bytes from 10.0.0.1: icmp_seq=5 ttl=64 time=84.4 ms
64 bytes from 10.0.0.1: icmp_seq=6 ttl=64 time=79.8 ms
64 bytes from 10.0.0.1: icmp_seq=7 ttl=64 time=82.7 ms
64 bytes from 10.0.0.1: icmp_seq=8 ttl=64 time=78.2 ms
64 bytes from 10.0.0.1: icmp_seq=9 ttl=64 time=103 ms
64 bytes from 10.0.0.1: icmp_seq=10 ttl=64 time=89.9 ms
64 bytes from 10.0.0.1: icmp_seq=11 ttl=64 time=78.7 ms
64 bytes from 10.0.0.1: icmp_seq=12 ttl=64 time=77.8 ms
64 bytes from 10.0.0.1: icmp_seq=13 ttl=64 time=83.5 ms
64 bytes from 10.0.0.1: icmp_seq=14 ttl=64 time=70.9 ms
64 bytes from 10.0.0.1: icmp_seq=15 ttl=64 time=81.2 ms
64 bytes from 10.0.0.1: icmp_seq=16 ttl=64 time=71.8 ms
64 bytes from 10.0.0.1: icmp_seq=17 ttl=64 time=77.1 ms
64 bytes from 10.0.0.1: icmp_seq=18 ttl=64 time=81.2 ms
64 bytes from 10.0.0.1: icmp_seq=19 ttl=64 time=63.3 ms
64 bytes from 10.0.0.1: icmp_seq=20 ttl=64 time=78.7 ms
64 bytes from 10.0.0.1: icmp_seq=21 ttl=64 time=74.8 ms
64 bytes from 10.0.0.1: icmp_seq=22 ttl=64 time=72.7 ms
64 bytes from 10.0.0.1: icmp_seq=23 ttl=64 time=82.1 ms
64 bytes from 10.0.0.1: icmp_seq=24 ttl=64 time=70.7 ms
64 bytes from 10.0.0.1: icmp_seq=25 ttl=64 time=79.5 ms
64 bytes from 10.0.0.1: icmp_seq=26 ttl=64 time=61.1 ms
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=77.6 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=70.0 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=74.2 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=73.9 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=88.4 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=10.5 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=0.105 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=0.113 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=90.0 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=0.082 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=42.4 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=0.124 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=82.1 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=180 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=115 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=27.1 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=105 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=6.34 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=23.8 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=18.3 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=78.3 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=8.54 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=26.9 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=4.87 ms
64 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=0.060 ms
64 bytes from 10.0.0.1: icmp_seq=52 ttl=64 time=114 ms
64 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=8.41 ms
64 bytes from 10.0.0.1: icmp_seq=54 ttl=64 time=23.2 ms
64 bytes from 10.0.0.1: icmp_seq=55 ttl=64 time=2.18 ms
64 bytes from 10.0.0.1: icmp_seq=56 ttl=64 time=67.2 ms
64 bytes from 10.0.0.1: icmp_seq=57 ttl=64 time=31.5 ms
64 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=21.7 ms
64 bytes from 10.0.0.1: icmp_seq=59 ttl=64 time=22.8 ms
64 bytes from 10.0.0.1: icmp_seq=60 ttl=64 time=84.3 ms
64 bytes from 10.0.0.1: icmp_seq=61 ttl=64 time=7.49 ms
64 bytes from 10.0.0.1: icmp_seq=62 ttl=64 time=7.18 ms
64 bytes from 10.0.0.1: icmp_seq=63 ttl=64 time=19.6 ms
64 bytes from 10.0.0.1: icmp_seq=64 ttl=64 time=95.9 ms
64 bytes from 10.0.0.1: icmp_seq=65 ttl=64 time=83.1 ms
64 bytes from 10.0.0.1: icmp_seq=66 ttl=64 time=20.8 ms
64 bytes from 10.0.0.1: icmp_seq=67 ttl=64 time=6.66 ms
64 bytes from 10.0.0.1: icmp_seq=68 ttl=64 time=88.8 ms
64 bytes from 10.0.0.1: icmp_seq=69 ttl=64 time=18.3 ms
64 bytes from 10.0.0.1: icmp_seq=70 ttl=64 time=89.8 ms
64 bytes from 10.0.0.1: icmp_seq=71 ttl=64 time=0.099 ms
64 bytes from 10.0.0.1: icmp_seq=72 ttl=64 time=84.3 ms
64 bytes from 10.0.0.1: icmp_seq=73 ttl=64 time=19.8 ms
64 bytes from 10.0.0.1: icmp_seq=74 ttl=64 time=57.2 ms
64 bytes from 10.0.0.1: icmp_seq=75 ttl=64 time=0.182 ms
64 bytes from 10.0.0.1: icmp_seq=76 ttl=64 time=81.0 ms
64 bytes from 10.0.0.1: icmp_seq=77 ttl=64 time=30.1 ms
64 bytes from 10.0.0.1: icmp_seq=78 ttl=64 time=22.4 ms
64 bytes from 10.0.0.1: icmp_seq=79 ttl=64 time=0.085 ms
64 bytes from 10.0.0.1: icmp_seq=80 ttl=64 time=161 ms
64 bytes from 10.0.0.1: icmp_seq=81 ttl=64 time=16.0 ms
